Entry_id,e_signed
3560428,0
6934997,1
5682812,1
6493191,1
8990111,0
6398494,1
3769730,1
2958721,0
9071675,0
9056321,1
1213384,0
2649891,1
5627791,0
2699043,1
6311037,1
3385813,1
7004468,1
4502821,1
9839345,1
6899559,1
5983465,0
6494782,0
5646177,1
2795644,1
6776905,1
3407920,0
2437855,1
8858967,1
5523257,1
8005018,1
1890237,0
8846477,1
5032836,1
4378557,1
6920639,0
6313574,1
9438177,0
1928639,0
3005304,0
3231870,0
4891253,0
1327168,0
2772888,0
8166207,1
2200507,1
4252472,1
6419188,1
3003105,0
6639359,0
7373726,0
8790471,1
7883052,1
6191229,0
2596261,1
3117436,0
2658749,0
5256194,0
3851891,1
3527594,1
8679172,1
4235216,0
9132267,1
9323397,0
3776899,1
4741751,0
3827941,1
9857271,1
4846559,1
3309505,0
8524987,0
3373460,1
2575818,1
2717104,0
3054464,1
1440697,1
1305751,1
2772342,1
7037207,1
2851430,0
1479220,1
4842467,1
3423311,0
8470131,0
7899565,0
4153723,1
4533419,1
8633564,1
2870129,1
9852116,1
7333513,1
6859022,1
9120916,0
3386783,1
4899961,0
7714891,0
7567357,0
2948337,1
2281584,0
2920619,0
3449707,0
1313983,1
6517566,1
7737371,0
8031605,0
3090101,0
5601966,0
7082019,1
2367244,0
3988730,0
1662593,0
5705465,1
4327194,1
9826225,0
2231863,1
3780822,1
7660326,0
2580721,1
5190277,1
6652320,1
5383035,1
4591387,1
4433665,1
5761192,1
8572331,1
1964873,0
7378272,1
9412285,0
1838949,0
9867349,1
5746463,0
9143865,1
3984909,1
2253739,0
8823941,1
7745980,1
3395537,0
8774000,1
2239876,1
1654420,0
7010476,1
5832254,1
7642433,0
7792250,1
4314416,0
5446751,0
4743890,0
5023159,1
5539227,0
2708666,0
6025606,1
8481549,1
6327984,0
5694167,1
6669964,0
7798750,1
9533410,0
1905867,0
4694254,0
5413897,1
8305984,1
8819329,1
5605121,1
7658216,0
8056220,0
7576927,0
4816809,0
9240098,0
9927335,1
3046666,0
5698441,0
7846122,1
3855669,1
9929029,0
1120829,1
9115608,1
9181475,1
1300412,0
6487580,1
8146598,1
4909727,1
2902439,1
7386875,1
4555937,1
2866553,1
4997990,1
8731891,1
8608125,1
4970325,0
6209498,1
1222005,1
6605275,0
5147377,0
8588942,0
3365494,1
7709095,1
9323249,1
1410722,0
6923019,1
1251427,1
6181468,0
1484579,1
7978292,1
9044620,0
6885627,1
8468025,1
2472222,1
6953585,0
8662405,1
5585001,1
5842992,1
2808974,1
8061126,0
4793832,1
6989786,1
2029862,0
4235576,0
3828592,1
5703296,0
4733044,1
7101684,0
4179908,1
4275103,1
3626813,0
7308727,1
6128800,1
9276506,0
2720830,0
2829726,1
3976715,1
4651021,0
2224386,1
7985882,0
5865750,0
5326986,0
8767287,1
7844306,0
8601043,0
3471644,1
1490233,1
2152489,1
6735784,1
5046002,1
6948784,0
8762806,0
6618370,1
1610043,1
6646360,0
6328576,0
8125913,0
5381751,1
1560973,0
8382605,0
1864241,0
6100557,0
4266598,1
9742389,0
2538298,0
8378134,1
5168228,1
2914686,0
5822893,1
6657937,0
4087689,1
9636320,1
2879788,0
8826219,1
6566290,0
1805462,0
3463185,0
4443674,0
9704121,0
5962028,0
7797358,1
3673854,0
2554104,1
1872944,1
2994545,1
2319813,1
4004358,1
5078392,1
1574037,0
8460546,1
5814665,0
8140661,0
1354305,1
2536551,1
3925327,0
2545470,0
9844181,1
8445226,1
1286982,1
7351611,1
5482180,1
1478299,1
4643535,0
8627791,0
3202206,1
2877019,1
2009366,1
9544233,1
7069276,0
8637821,1
9432033,0
5649117,1
2749601,1
8757331,0
2011800,0
4411624,1
7749597,1
1318784,0
7435216,1
7426912,0
5071492,1
5633775,1
1466039,1
4618839,1
3953452,0
3916516,0
6885974,1
1747549,0
1321479,1
1832193,0
9395993,0
3521295,0
6901654,0
6871017,1
1275697,0
4718390,1
3509387,0
7747550,0
6239348,0
7381766,1
5377742,0
8512913,1
2025280,0
8105777,0
8989599,0
8090737,1
6313594,1
2266723,0
5909574,1
9330683,1
6348989,1
8685795,0
4055543,0
7021115,1
7751369,0
6907654,0
3733763,1
5719374,0
1641742,1
8548648,1
9223652,1
5515469,0
4598011,1
2299619,1
8120205,0
4415490,0
4843370,0
5689154,1
7061450,0
4184298,1
6425625,1
1187019,0
3415382,0
2637169,1
3182177,1
8977737,1
4930385,0
7487984,1
6746938,0
1946414,1
8647028,0
3158435,1
9003791,0
5905026,0
3012598,1
4717997,0
3414739,1
7427539,0
8915972,1
9650932,0
6511054,0
1622406,1
1542750,1
4354926,0
4890341,1
1508828,0
3183130,1
5447073,0
5140642,0
1813847,0
9217874,0
7209421,0
3128027,0
3640482,0
2866321,1
3743437,0
4768745,1
1641306,1
3297501,0
1374607,1
6097690,0
1944227,0
3293323,1
3441682,1
6921900,1
1386740,0
2256209,1
8445919,1
2158059,1
5673951,1
2145276,0
4449625,1
5462965,0
7178457,1
4985148,1
4145119,0
6061458,1
6971789,0
3665219,0
2207438,1
4973073,1
9152011,0
5049811,1
7704173,0
3957272,1
